Price,Close,High,Low,Open,Volume
Ticker,NDX,NDX,NDX,NDX,NDX
Date,,,,,
2021-02-05,13603.9599609375,13603.9599609375,13603.9599609375,13603.9599609375,0
2021-02-08,13695.01953125,13695.01953125,13695.01953125,13695.01953125,0
2021-02-09,13687.080078125,13687.080078125,13687.080078125,13687.080078125,0
2021-02-10,13655.26953125,13655.26953125,13655.26953125,13655.26953125,0
2021-02-11,13734.349609375,13734.349609375,13734.349609375,13734.349609375,0
2021-02-12,13807.7001953125,13807.7001953125,13807.7001953125,13807.7001953125,0
2021-02-16,13773.76953125,13773.76953125,13773.76953125,13773.76953125,0
2021-02-17,13699.7099609375,13699.7099609375,13699.7099609375,13699.7099609375,0
2021-02-18,13637.509765625,13637.509765625,13637.509765625,13637.509765625,0
2021-02-19,13580.7802734375,13580.7802734375,13580.7802734375,13580.7802734375,0
2021-02-22,13223.740234375,13223.740234375,13223.740234375,13223.740234375,0
2021-02-23,13194.7099609375,13194.7099609375,13194.7099609375,13194.7099609375,0
2021-02-24,13302.1904296875,13302.1904296875,13302.1904296875,13302.1904296875,0
2021-02-25,12828.3095703125,12828.3095703125,12828.3095703125,12828.3095703125,0
2021-02-26,12909.4404296875,12909.4404296875,12909.4404296875,12909.4404296875,0
2021-03-01,13282.9501953125,13282.9501953125,13282.9501953125,13282.9501953125,0
2021-03-02,13059.9501953125,13059.9501953125,13059.9501953125,13059.9501953125,0
2021-03-03,12683.330078125,12683.330078125,12683.330078125,12683.330078125,0
2021-03-04,12464.0,12464.0,12464.0,12464.0,0
2021-03-05,12668.509765625,12668.509765625,12668.509765625,12668.509765625,0
2021-03-08,12299.080078125,12299.080078125,12299.080078125,12299.080078125,0
2021-03-09,12794.490234375,12794.490234375,12794.490234375,12794.490234375,0
2021-03-10,12752.0703125,12752.0703125,12752.0703125,12752.0703125,0
2021-03-11,13052.900390625,13052.900390625,13052.900390625,13052.900390625,0
2021-03-15,13082.5400390625,13082.5400390625,13082.5400390625,13082.5400390625,0
